Source,Target,Weight
203666,28643625,1.9811175673662776E-4
25126616,16241224,1.6459820135367553E-4
15171934,3623050,2.390555578120959E-6
24560307,5932749,3.2699918258098807E-6
2935735,4591033,3.2699372147764077E-6
9461481,28366058,1.649879939336839E-4
25537901,25538333,2.390555578120959E-6
4025121,16851127,1.977219641557134E-4
10969551,8711353,2.2445883660897524E-4
24560307,13346571,3.2699372147764077E-6
1857825,2410676,2.880199247368832E-6
11421378,167174,3.1149096105492407E-6
11421378,3955647,2.880199247368832E-6
8843683,1787757,2.390555578120959E-6
671825,729744,0.7350168123749448
17784299,21548299,2.390555578120959E-6
206084,26992831,2.390555578120959E-6
9530789,9325315,2.390555578120959E-6
9325315,9530789,3.1149096105492407E-6
1801829,2649031,1.6483291171685594E-4
11808187,5187096,2.390555578120959E-6
588600,71019,2.880199247368832E-6
9461481,7691631,1.6483291171685594E-4
11589713,9461481,1.977219641557134E-4
11778024,16819795,2.880199247368832E-6
714074,14663768,2.880199247368832E-6
14159669,3623050,0.7311149639663979
19294390,9029977,2.390555578120959E-6
21357099,321278,2.390555578120959E-6
2081289,14448779,0.8824978046422327
10707658,16297763,2.2425730230889767E-4
27022174,2476855,2.880199247368832E-6
8569918,9615328,2.880199247368832E-6
606956,128476,0.010880233443030664
28366058,7691631,0.7351153532905907
7786818,3038446,0.7331252202526698
17752746,3016562,2.880199247368832E-6
22521888,10616272,2.880199247368832E-6
238972,13347640,0.014386751017870496
13512328,11225014,1.6410855768442766E-4
104937,27,2.390555578120959E-6
15601851,23899906,3.2111770686914356E-6
2351391,2351384,2.390555578120959E-6
108278,15090814,2.880199247368832E-6
14981376,1181927,0.7308977400641479
2014929,1385122,2.390555578120959E-6
9403933,23198783,2.390555578120959E-6
8962829,14169882,2.244807126508511E-4
24835467,22187098,2.390555578120959E-6
5710178,5710341,2.880199247368832E-6
843222,654608,0.013108122330570468
27193779,3342055,0.9384080109261341
9265294,206084,2.390555578120959E-6
1446467,2410676,3.2111770686914356E-6
10969551,12296490,0.9780627448723507
8271291,14204295,3.2111770686914356E-6
27494663,206084,2.880199247368832E-6
321278,4580780,0.720020695912619
658518,1254497,2.880199247368832E-6
26399616,26119962,2.390555578120959E-6
7691631,23096959,0.9996068761005779
23096959,7691631,0.9381898995567909
7691631,20580498,0.7331252202526698
2893713,108278,2.880199247368832E-6
26992831,206084,2.390555578120959E-6
13739356,10037542,0.010880254232006307
28155823,18023059,2.1383452791605957E-4
24336212,25104780,2.390555578120959E-6
1090311,24894912,3.1149096105492407E-6
729744,671825,0.9935633008000755
27494663,7691631,0.014775764622988104
11167738,28062827,1.9808987116880358E-4
11617504,11924873,3.1149096105492407E-6
238972,363387,2.1962254328474146E-4
5721837,1419138,2.390555578120959E-6
28669836,17301522,3.1149096105492407E-6
238972,1252,2.390555578120959E-6
7099729,2163263,3.1149096105492407E-6
5373551,7480345,2.390555578120959E-6
168370,722201,2.880199247368832E-6
589584,616448,2.390555578120959E-6
12244838,4331833,2.390555578120959E-6
3447593,22942790,2.390555578120959E-6
