Source,Target,Weight
203666,28643625,0.01311747736902352
25126616,16241224,0.010898460630527683
15171934,3623050,1.5828469350803048E-4
24560307,5932749,2.1651437793758442E-4
2935735,4591033,2.165107620037929E-4
9461481,28366058,0.010924269776996818
25537901,25538333,1.5828469350803048E-4
4025121,16851127,0.013091668222494397
10969551,8711353,0.014861983750968472
24560307,13346571,2.165107620037929E-4
1857825,2410676,1.9070523157222664E-4
11421378,167174,2.0624599466478408E-4
11421378,3955647,1.9070523157222664E-4
8843683,1787757,1.5828469350803048E-4
671825,729744,0.9931431839347746
17784299,21548299,1.5828469350803048E-4
206084,26992831,1.5828469350803048E-4
9530789,9325315,1.5828469350803048E-4
9325315,9530789,2.0624599466478408E-4
1801829,2649031,0.010914001393620242
11808187,5187096,1.5828469350803048E-4
588600,71019,1.9070523157222664E-4
9461481,7691631,0.010914001393620242
11589713,9461481,0.013091668222494397
11778024,16819795,1.9070523157222664E-4
714074,14663768,1.9070523157222664E-4
14159669,3623050,0.734791993477579
19294390,9029977,1.5828469350803048E-4
21357099,321278,1.5828469350803048E-4
2081289,14448779,0.9934064652146501
10707658,16297763,0.014848639658402255
27022174,2476855,1.9070523157222664E-4
8569918,9615328,1.9070523157222664E-4
606956,128476,0.7204076038171876
28366058,7691631,0.9996678256430824
7786818,3038446,0.8678961149869602
17752746,3016562,1.9070523157222664E-4
22521888,10616272,1.9070523157222664E-4
238972,13347640,0.9525829461074147
13512328,11225014,0.010866040092463487
104937,27,1.5828469350803048E-4
15601851,23899906,2.1262010503740787E-4
2351391,2351384,1.5828469350803048E-4
108278,15090814,1.9070523157222664E-4
14981376,1181927,0.7204090529155828
2014929,1385122,1.5828469350803048E-4
9403933,23198783,1.5828469350803048E-4
8962829,14169882,0.014863432218686681
24835467,22187098,1.5828469350803048E-4
5710178,5710341,1.9070523157222664E-4
843222,654608,0.8679217268778069
27193779,3342055,0.01459998668240461
9265294,206084,1.5828469350803048E-4
1446467,2410676,2.1262010503740787E-4
10969551,12296490,0.7204051586425788
8271291,14204295,2.1262010503740787E-4
27494663,206084,1.9070523157222664E-4
321278,4580780,2.1262010503740787E-4
658518,1254497,1.9070523157222664E-4
26399616,26119962,1.5828469350803048E-4
7691631,23096959,0.9820171489525077
23096959,7691631,1.5828469350803048E-4
7691631,20580498,0.8678961149869602
2893713,108278,1.9070523157222664E-4
26992831,206084,1.5828469350803048E-4
13739356,10037542,0.7204089803075182
28155823,18023059,0.014158521568125313
24336212,25104780,1.5828469350803048E-4
1090311,24894912,2.0624599466478408E-4
729744,671825,0.73505593828018
27494663,7691631,0.9783405146910717
11167738,28062827,0.01311602827056833
11617504,11924873,2.0624599466478408E-4
238972,363387,0.014541760613908848
5721837,1419138,1.5828469350803048E-4
28669836,17301522,2.0624599466478408E-4
238972,1252,1.5828469350803048E-4
7099729,2163263,2.0624599466478408E-4
5373551,7480345,1.5828469350803048E-4
168370,722201,1.9070523157222664E-4
589584,616448,1.5828469350803048E-4
12244838,4331833,1.5828469350803048E-4
3447593,22942790,1.5828469350803048E-4
1402936,4090287,1.5828469350803048E-4
7691631,15693680,2.1651437688867175E-4
21779020,3678731,1.9070523157222664E-4
3557653,2968000,0.9493296066479282
20580498,7691631,0.9999999900867933
11412473,14238949,1.5828469350803048E-4
2751199,2752522,1.9070523157222664E-4
1090311,168370,0.8786291441739801
20929025,321278,1.5828469350803048E-4
5048251,641512,1.5828469350803048E-4
14204295,12584841,1.5828469350803048E-4
28758778,1362490,1.5828469350803048E-4
14225208,21449162,0.010924072521374438
23810532,9325315,1.5828469350803048E-4
3198415,2228226,0.010866040092463487
6862780,143580,0.010923734418592176
20580498,15693680,1.5828469350803048E-4
9534760,3214406,1.9070523157222664E-4
26494782,17815037,1.5828469350803048E-4
22873447,21129265,1.5828469350803048E-4
1632976,658518,1.5828469350803048E-4
24474126,3638964,0.9999999203199381
7691631,9461481,2.15979019636719E-4
488514,614070,0.9828914008937627
11452644,9996255,1.5828469350803048E-4
19354917,3620194,1.5828469350803048E-4
7961991,7968417,1.5828469350803048E-4
24400684,25841126,1.5828469350803048E-4
26715792,1725199,1.5828469350803048E-4
28671602,734934,0.7203508232310494
17620347,14225208,2.0624599466478408E-4
2055965,19390712,0.013059247684430201
