Source,Target,Weight
203666,28643625,6.204812310311574E-10
25126616,16241224,5.155175860522801E-10
15171934,3623050,7.487162258284366E-12
24560307,5932749,1.0241535318056228E-11
2935735,4591033,1.0241364277620083E-11
9461481,28366058,5.16738406986254E-10
25537901,25538333,7.487162258284366E-12
4025121,16851127,6.19260410094346E-10
10969551,8711353,7.029996480224491E-10
24560307,13346571,1.0241364277620083E-11
1857825,2410676,9.020714388991217E-12
11421378,167174,9.755821570315933E-12
11421378,3955647,9.020714388991217E-12
8843683,1787757,7.487162258284366E-12
671825,729744,2.302054880959439E-6
17784299,21548299,7.487162258284366E-12
206084,26992831,7.487162258284366E-12
9530789,9325315,7.487162258284366E-12
9325315,9530789,1.50087005115091E-4
1801829,2649031,5.16252693233605E-10
11808187,5187096,7.487162258284366E-12
588600,71019,9.020714388991217E-12
9461481,7691631,5.16252693233605E-10
11589713,9461481,6.19260410094346E-10
11778024,16819795,9.020714388991217E-12
714074,14663768,9.020714388991217E-12
14159669,3623050,2.2898343861048573E-6
19294390,9029977,7.487162258284366E-12
21357099,321278,7.487162258284366E-12
2081289,14448779,2.7639617821099696E-6
10707658,16297763,7.023684474684438E-10
27022174,2476855,9.020714388991217E-12
8569918,9615328,9.020714388991217E-12
606956,128476,1.8086252296491725E-4
28366058,7691631,2.302363508724162E-6
7786818,3038446,0.012607739270542161
17752746,3016562,9.020714388991217E-12
22521888,10616272,9.020714388991217E-12
238972,13347640,4.505895626363215E-8
13512328,11225014,5.139840339215734E-10
104937,27,7.487162258284366E-12
15601851,23899906,1.0057328921117522E-11
2351391,2351384,7.487162258284366E-12
108278,15090814,9.020714388991217E-12
14981376,1181927,0.7205961031982733
2014929,1385122,0.7309062019843442
9403933,23198783,7.487162258284366E-12
8962829,14169882,7.030681632565615E-10
24835467,22187098,7.487162258284366E-12
5710178,5710341,9.020714388991217E-12
843222,654608,1.5012804968140634E-4
27193779,3342055,0.012632347048482956
9265294,206084,7.487162258284366E-12
1446467,2410676,1.5008700541659832E-4
10969551,12296490,0.9391223615888019
8271291,14204295,1.0057328921117522E-11
27494663,206084,9.020714388991217E-12
321278,4580780,2.2550874068604615E-6
658518,1254497,9.020714388991217E-12
26399616,26119962,7.487162258284366E-12
7691631,23096959,0.012623309778471902
23096959,7691631,0.9525593458775532
7691631,20580498,0.8681911723331132
2893713,108278,9.020714388991217E-12
26992831,206084,7.487162258284366E-12
13739356,10037542,3.407669313024208E-8
28155823,18023059,6.697245701309383E-10
24336212,25104780,7.487162258284366E-12
1090311,24894912,9.755821570315933E-12
729744,671825,3.111816230105803E-6
27494663,7691631,0.010312434209967327
11167738,28062827,1.5008761577195537E-4
11617504,11924873,9.755821570315933E-12
238972,363387,0.7205938147320796
5721837,1419138,7.487162258284366E-12
28669836,17301522,9.755821570315933E-12
238972,1252,7.487162258284366E-12
7099729,2163263,9.755821570315933E-12
5373551,7480345,7.487162258284366E-12
168370,722201,9.020714388991217E-12
589584,616448,7.487162258284366E-12
12244838,4331833,7.487162258284366E-12
3447593,22942790,7.487162258284366E-12
1402936,4090287,7.487162258284366E-12
7691631,15693680,1.0241535268440695E-11
21779020,3678731,0.7205938140532478
3557653,2968000,4.490506721804848E-8
20580498,7691631,0.9805896966971941
11412473,14238949,7.487162258284366E-12
2751199,2752522,9.020714388991217E-12
1090311,168370,0.8806135324572011
20929025,321278,7.487162258284366E-12
5048251,641512,7.487162258284366E-12
14204295,12584841,7.487162258284366E-12
28758778,1362490,7.487162258284366E-12
14225208,21449162,5.167290764261197E-10
23810532,9325315,7.487162258284366E-12
3198415,2228226,5.139840339215734E-10
6862780,143580,5.167130835317048E-10
20580498,15693680,7.487162258284366E-12
9534760,3214406,9.020714388991217E-12
26494782,17815037,7.487162258284366E-12
22873447,21129265,7.487162258284366E-12
1632976,658518,7.487162258284366E-12
24474126,3638964,0.8824685334582119
