Source,Target,Weight
10707658,26553597,0.5
6660536,13934856,8.0
1599151,2331534,1.0
2011783,4262493,3.0
10064545,3678731,0.5
4128353,3319769,4.5
8884539,5731348,1.0
4106792,206084,6.0
9992330,12310030,2.0
7764559,10697582,0.5
13815417,23096959,0.5
23198783,9403933,0.5
5741125,14712850,0.5
4435792,3149845,0.5
27193779,5187096,0.5
26119962,26399616,1.0
958314,7691631,0.5
21413198,15062869,0.5
8514,392785,0.5
19939216,6543378,5.0
22369178,13078968,0.5
17303641,7887296,0.5
13347640,238983,2.5
16563587,11225014,3.0
2935735,3100121,0.5
2935735,9384267,0.5
14299077,1312351,0.5
19606628,20929025,3.5
2370458,4423776,1.0
104937,8514,0.5
5830987,24560307,0.5
21386310,16688238,1.5
22584039,2055965,1.0
3171862,2006302,0.5
5710848,19006435,0.5
24198103,14430294,1.5
25042195,6093316,0.5
1090311,26094060,1.0
14448779,2081289,5.0
19692503,9325315,2.0
19692503,9530789,1.5
15188780,27764892,0.5
24898177,14125254,1.5
15145867,6404963,0.5
714074,12225546,1.5
22652644,28199205,1.0
3166814,910744,0.5
29249482,847885,1.0
22660201,22993377,0.5
24951510,20460946,2.0
3988342,1217614,0.5
30183842,2067253,1.5
18533350,16152925,1.0
21831425,9992330,0.5
27562508,25592861,0.5
22507007,2536587,1.0
238983,13347640,4.5
3955647,349241,1.0
20929025,6093316,1.5
30093172,25567730,0.5
5497,1784628,0.5
25959820,13392416,0.5
29421384,3678731,0.5
4291387,6766558,0.5
3215654,2293158,0.5
7653178,3867127,0.5
658518,6235174,0.5
26655380,24560307,0.5
6267158,5710341,0.5
11396385,25592861,1.0
9908723,5888353,0.5
15221515,2665618,0.5
11545371,4039952,0.5
12445598,7876204,0.5
2228226,2510503,0.5
24946152,6884828,0.5
4330620,2931111,1.0
6660536,24865368,3.5
6660536,5346495,1.0
14757903,9979119,3.0
20580498,12574344,3.0
203666,23487443,0.5
6093316,20929025,7.0
31090585,27196756,1.0
19692503,5151909,0.5
206084,1446467,1.5
18194030,20100867,1.0
12646044,4297273,2.0
19257170,9530789,1.0
19257170,19692503,0.5
5811958,12164369,0.5
20882412,21388550,0.5
16652218,16764080,0.5
10270250,24560307,1.0
1090311,25312483,1.0
9214768,206084,5.0
17931173,17815037,0.5
28366058,20666775,0.5
5832751,2835111,1.0
2508083,15974409,0.5
15974409,2508083,2.0
9524363,11939484,1.0
9524363,1460385,0.5
20460946,24951510,2.0
28107304,8962829,1.0
5532320,25003905,3.0
535266,417389,0.5
22577138,671825,0.5
15712730,28671602,0.5
17224370,14724975,0.5
11167738,15355019,0.5
6054707,3623050,0.5
29891188,11061773,5.5
2649031,14089735,0.5
16106422,2665618,0.5
23115931,19272315,0.5
28671602,26820697,0.5
1857825,22321368,0.5
907410,478996,0.5
11061773,31404632,3.5
3910945,1219074,0.5
17152449,14089735,0.5
11682335,486550,1.0
30468314,27196756,1.0
692528,854078,0.5
19872456,10270250,3.0
24774658,6670942,2.5
12574344,20580498,0.5
527644,11264371,0.5
15090814,108278,3.0
30027163,5710341,0.5
952189,349241,2.0
27148891,30430269,1.0
13941428,3427405,0.5
8393,8514,0.5
8135462,2665618,1.5
24560307,11888510,0.5
447184,363387,1.5
9325315,10126908,4.5
18533350,18026324,0.5
4066227,931135,0.5
2222347,611921,1.0
27433386,25538333,0.5
28627094,20580498,1.5
15508537,17084864,0.5
24718080,20021829,2.5
5346495,24865368,0.5
5346495,6660536,1.0
238972,238986,5.0
11888510,10270250,1.5
10126908,9325315,7.0
910744,910757,1.0
1446467,1362490,0.5
24865368,6660536,5.0
25003905,5532320,2.0
