Source,Target,Weight
203666,28643625,2.976887321340877E-6
25126616,16241224,2.473302477331866E-6
15171934,3623050,3.5921212898685476E-8
24560307,5932749,4.913588858879672E-8
2935735,4591033,4.9135067986850473E-8
9461481,28366058,2.4791596188185385E-6
25537901,25538333,3.5921212898685476E-8
4025121,16851127,2.9710301798405907E-6
10969551,8711353,3.3727865315559247E-6
24560307,13346571,4.9135067986850473E-8
1857825,2410676,4.327874712567529E-8
11421378,167174,4.6805576203608006E-8
11421378,3955647,4.327874712567529E-8
8843683,1787757,3.5921212898685476E-8
671825,729744,0.01104458546920159
17784299,21548299,3.5921212898685476E-8
206084,26992831,3.5921212898685476E-8
9530789,9325315,3.5921212898685476E-8
9325315,9530789,0.7200735175867101
1801829,2649031,2.4768293064097987E-6
11808187,5187096,3.5921212898685476E-8
588600,71019,4.327874712567529E-8
9461481,7691631,2.4768293064097987E-6
11589713,9461481,2.9710301798405907E-6
11778024,16819795,4.327874712567529E-8
714074,14663768,4.327874712567529E-8
14159669,3623050,0.010985955112030819
19294390,9029977,3.5921212898685476E-8
21357099,321278,3.5921212898685476E-8
2081289,14448779,0.01326067957311143
10707658,16297763,3.369758216060677E-6
27022174,2476855,4.327874712567529E-8
8569918,9615328,4.327874712567529E-8
606956,128476,0.8677254437257093
28366058,7691631,0.011046066174876265
7786818,3038446,0.878578115871734
17752746,3016562,4.327874712567529E-8
22521888,10616272,4.327874712567529E-8
238972,13347640,2.1617968264913404E-4
13512328,11225014,2.4659449431048763E-6
104937,27,3.5921212898685476E-8
15601851,23899906,4.8252120216552145E-8
2351391,2351384,3.5921212898685476E-8
108278,15090814,4.327874712567529E-8
14981376,1181927,0.010982691039816469
2014929,1385122,3.5921212898685476E-8
9403933,23198783,3.5921212898685476E-8
8962829,14169882,3.3731152475936505E-6
24835467,22187098,3.5921212898685476E-8
5710178,5710341,4.327874712567529E-8
843222,654608,0.720270437401466
27193779,3342055,0.9966390313269572
9265294,206084,3.5921212898685476E-8
1446467,2410676,0.7200735190332541
10969551,12296490,0.8822586213781805
8271291,14204295,4.8252120216552145E-8
27494663,206084,4.327874712567529E-8
321278,4580780,0.01081924927663329
658518,1254497,4.327874712567529E-8
26399616,26119962,3.5921212898685476E-8
